bordereaux_id,submission_date,claim_id,coverholder_id,bordereaux_amount,submission_status,period_start,period_end,number_of_claims
BDX001,2024-01-10,CLM001,CH001,50000,Received,2023-12-01,2023-12-31,1
BDX002,2024-01-15,CLM002,CH002,75000,Received,2023-12-01,2023-12-31,2
BDX003,2024-02-08,CLM003,CH001,120000,Processed,2024-01-01,2024-01-31,3
BDX004,2024-02-12,CLM004,CH003,35000,Received,2024-01-01,2024-01-31,1
BDX005,2024-02-20,CLM005,CH002,90000,Processed,2024-01-01,2024-01-31,2
BDX006,2024-03-02,CLM006,CH001,65000,Received,2024-02-01,2024-02-29,1
BDX007,2024-03-08,CLM007,CH004,155000,Processed,2024-02-01,2024-02-29,2
BDX008,2024-03-12,CLM008,CH003,45000,Received,2024-02-01,2024-02-29,1
BDX009,2024-03-18,CLM009,CH002,80000,Processed,2024-02-01,2024-02-29,3
BDX010,2024-03-25,CLM010,CH001,125000,Received,2024-03-01,2024-03-31,2
BDX011,2024-04-01,CLM011,CH004,55000,Processed,2024-03-01,2024-03-31,1
BDX012,2024-04-05,CLM012,CH003,95000,Received,2024-03-01,2024-03-31,2
BDX013,2024-04-10,CLM013,CH002,70000,Processed,2024-03-01,2024-03-31,1
BDX014,2024-04-15,CLM014,CH001,110000,Received,2024-04-01,2024-04-30,3
BDX015,2024-04-20,CLM015,CH004,60000,Processed,2024-04-01,2024-04-30,1
BDX016,2024-05-01,CLM016,CH003,140000,Received,2024-04-01,2024-04-30,2
BDX017,2024-05-05,CLM017,CH002,48000,Processed,2024-04-01,2024-04-30,1
BDX018,2024-05-10,CLM018,CH001,85000,Received,2024-05-01,2024-05-31,2
BDX019,2024-05-15,CLM019,CH004,72000,Processed,2024-05-01,2024-05-31,1
BDX020,2024-05-20,CLM020,CH003,130000,Received,2024-05-01,2024-05-31,3
BDX021,2024-01-22,CLM021,CH005,88000,Processed,2023-12-01,2023-12-31,1
BDX022,2024-02-01,CLM022,CH006,105000,Received,2024-01-01,2024-01-31,2
BDX023,2024-02-15,CLM023,CH007,42000,Processed,2024-01-01,2024-01-31,1
BDX024,2024-02-28,CLM024,CH008,78000,Received,2024-02-01,2024-02-29,2
BDX025,2024-03-08,CLM025,CH009,135000,Processed,2024-02-01,2024-02-29,3
BDX026,2024-03-18,CLM026,CH010,67000,Received,2024-03-01,2024-03-31,1
BDX027,2024-03-22,CLM027,CH005,98000,Processed,2024-03-01,2024-03-31,2
BDX028,2024-04-03,CLM028,CH006,112000,Received,2024-04-01,2024-04-30,1
BDX029,2024-04-12,CLM029,CH007,54000,Processed,2024-04-01,2024-04-30,2
BDX030,2024-04-25,CLM030,CH008,99000,Received,2024-05-01,2024-05-31,1
