claim_id,claim_date,claim_amount,settlement_amount,claim_status,claim_type,claimant_name,adjuster_id,coverholder_id,tpa_id,reported_date,settled_date
CLM001,2024-01-15,50000,45000,Settled,Professional Liability,Acme Corp,ADJ001,CH001,TPA001,2024-01-15,2024-03-20
CLM002,2024-01-18,75000,0,Open,General Liability,Tech Solutions Inc,ADJ002,CH002,TPA002,2024-01-18,
CLM003,2024-02-10,120000,110000,Settled,Property Damage,Manufacturing Ltd,ADJ001,CH001,TPA001,2024-02-10,2024-04-15
CLM004,2024-02-12,35000,35000,Settled,Medical Malpractice,Health Clinic,ADJ003,CH003,TPA003,2024-02-12,2024-02-28
CLM005,2024-02-25,90000,0,Pending,Professional Liability,Consulting Group,ADJ002,CH002,TPA002,2024-02-25,
CLM006,2024-03-05,65000,62000,Settled,General Liability,Retail Store,ADJ001,CH001,TPA001,2024-03-05,2024-04-10
CLM007,2024-03-10,155000,0,Under Review,Property Damage,Factory Complex,ADJ004,CH004,TPA004,2024-03-10,
CLM008,2024-03-15,45000,45000,Settled,Cyber Liability,Finance Corp,ADJ003,CH003,TPA003,2024-03-15,2024-03-25
CLM009,2024-03-20,80000,0,Open,Professional Liability,Legal Firm,ADJ002,CH002,TPA002,2024-03-20,
CLM010,2024-03-25,125000,120000,Settled,General Liability,Construction Co,ADJ001,CH001,TPA001,2024-03-25,2024-05-05
CLM011,2024-04-01,55000,0,Pending,Medical Malpractice,Hospital Group,ADJ004,CH004,TPA004,2024-04-01,
CLM012,2024-04-05,95000,90000,Settled,Property Damage,Warehouse,ADJ003,CH003,TPA003,2024-04-05,2024-04-30
CLM013,2024-04-10,70000,0,Open,Cyber Liability,Tech Startup,ADJ002,CH002,TPA002,2024-04-10,
CLM014,2024-04-15,110000,105000,Settled,Professional Liability,Consulting Firm,ADJ001,CH001,TPA001,2024-04-15,2024-05-20
CLM015,2024-04-20,60000,0,Under Review,General Liability,Restaurant Chain,ADJ004,CH004,TPA004,2024-04-20,
CLM016,2024-05-01,140000,0,Open,Property Damage,Office Building,ADJ003,CH003,TPA003,2024-05-01,
CLM017,2024-05-05,48000,48000,Settled,Medical Malpractice,Clinic,ADJ002,CH002,TPA002,2024-05-05,2024-05-15
CLM018,2024-05-10,85000,0,Pending,Professional Liability,Accounting Firm,ADJ001,CH001,TPA001,2024-05-10,
CLM019,2024-05-15,72000,70000,Settled,Cyber Liability,Insurance Tech,ADJ004,CH004,TPA004,2024-05-15,2024-05-25
CLM020,2024-05-20,130000,0,Open,General Liability,Manufacturing Plant,ADJ003,CH003,TPA003,2024-05-20,
CLM021,2024-01-22,88000,85000,Settled,Professional Liability,Business Services,ADJ001,CH005,TPA001,2024-01-22,2024-03-30
CLM022,2024-02-01,105000,0,Open,Property Damage,Commercial Complex,ADJ002,CH006,TPA002,2024-02-01,
CLM023,2024-02-15,42000,42000,Settled,General Liability,Small Retail,ADJ003,CH007,TPA003,2024-02-15,2024-03-10
CLM024,2024-02-28,78000,0,Pending,Medical Malpractice,Dental Clinic,ADJ004,CH008,TPA004,2024-02-28,
CLM025,2024-03-08,135000,130000,Settled,Cyber Liability,Software Company,ADJ001,CH009,TPA001,2024-03-08,2024-04-25
CLM026,2024-03-18,67000,0,Open,Professional Liability,Consulting Firm,ADJ002,CH010,TPA002,2024-03-18,
CLM027,2024-03-22,98000,95000,Settled,General Liability,Transportation,ADJ003,CH005,TPA003,2024-03-22,2024-05-01
